country_name,country,year,region,wb_inc,ndp_usd,ETR_L,ETR_K,Tau_L,Tau_K,Lsh_ndp,Ksh_ndp,pct_tax,pct_1000,pct_1100,pct_1200,pct_2000,pct_4000,pct_5000,pct_6000,source_tax,source_sna
Albania,ALB,2002,Asia,Upper middle income,7055331840,.067745261,.16210207,.053660691,.033701811,.79209512,.20790488,.24589474,.039844364,.011725437,.028118927,.048886813,.0051047313,.13123946,.020819372,ICTD,composite
Albania,ALB,2003,Asia,Upper middle income,7431282176,.067768112,.16852674,.053513899,.035447586,.78966194,.21033806,.25008291,.038730454,.01103831,.027692147,.049242146,.0076669259,.13206217,.022381227,ICTD,composite
Albania,ALB,2004,Asia,Upper middle income,7827498496,.072536424,.18913169,.057124365,.040185437,.78752661,.21247332,.26292026,.043239295,.010928612,.032310683,.052742437,.0079192845,.13922103,.019798208,ICTD,composite
Albania,ALB,2005,Asia,Upper middle income,8246763008,.072310105,.15795246,.05677665,.033930909,.78518277,.21481723,.2631546,.044286281,.01077175,.033514529,.052230794,0,.16129813,.0053393859,ICTD,composite
Albania,ALB,2006,Asia,Upper middle income,8723871744,.07303714,.15467423,.057126291,.033695158,.78215396,.21784596,.27166247,.044921234,.011517317,.033403914,.052388951,0,.16890757,.0054447348,ICTD,composite
Albania,ALB,2007,Asia,Upper middle income,9238978560,.077058576,.14454097,.060064584,.031876117,.77946657,.22053345,.27371308,.0463337,.018030928,.028302766,.050260171,.0016217101,.17023435,.0052631595,ICTD,composite
Albania,ALB,2008,Asia,Upper middle income,9957130240,.088692859,.12955378,.068920746,.028881155,.77707207,.22292791,.28332576,.048900481,.02650913,.022391353,.051132396,.0017157745,.17679416,.0047829435,ICTD,composite
Albania,ALB,2009,Asia,Upper middle income,10263353344,.091238007,.14210927,.070830569,.03178595,.77632743,.2236726,.28143865,.047615562,.027490029,.020125531,.05061261,.0060545714,.17284073,.0043151765,ICTD,composite
Albania,ALB,2010,Asia,Upper middle income,10639711232,.089420065,.1136831,.069231324,.025666704,.77422583,.22577415,.2730425,.044454899,.025602585,.018852314,.050761394,.0017940166,.1760322,0,ICTD,composite
Albania,ALB,2011,Asia,Upper middle income,10902595584,.081765294,.12674606,.063161492,.028838139,.7724731,.2275269,.26859671,.044260174,.021521699,.022738473,.04837301,.0024398786,.17209442,.0014292077,ICTD,composite
Albania,ALB,2012,Asia,Upper middle income,11040843776,.082816385,.1189142,.063940339,.027103681,.77207357,.22792636,.26143107,.041218728,.021579619,.019639108,.048537362,.0035039464,.16693403,.0012370179,ICTD,composite
Albania,ALB,2013,Asia,Upper middle income,11132279808,.083474584,.10532121,.064312309,.024177352,.77044177,.22955824,.25194556,.040198855,.021858932,.018339917,.050408974,.0024905675,.15797901,.00086814637,ICTD,composite
Albania,ALB,2014,Asia,Upper middle income,11322565632,.091571175,.12376909,.070511654,.028464392,.77002019,.22997981,.28201783,.042555742,.019629532,.022926204,.057979316,.0026191645,.17799181,.00087180221,ICTD,composite
Albania,ALB,2015,Asia,Upper middle income,11566195712,.091477573,.13574919,.070343457,.031362224,.76896942,.23103064,.28281626,.046583351,.020893199,.025690153,.056916669,.0027254408,.17605183,.00053893577,ICTD,composite
Albania,ALB,2016,Asia,Upper middle income,11952669696,.098669901,.088013716,.075715877,.020475028,.76736552,.23263451,.27745908,.034731913,.022808578,.011923337,.06134196,.0049116453,.17623393,.00023960693,ICTD,composite
Albania,ALB,2017,Asia,Upper middle income,12412949504,.10367268,.15660372,.079461567,.036572311,.76646584,.23353411,.2979278,.048675958,.021850692,.026825266,.064705588,.0065529221,.17778347,.00020984623,ICTD,composite
Albania,ALB,2018,Asia,Upper middle income,12931790848,.10717234,.15127903,.081989847,.035546329,.76502806,.23497194,.29645839,.05135287,.023443686,.02790918,.065538891,.0039690817,.17521535,.00038219153,ICTD,composite
Argentina,ARG,1965,Latin America & Caribbean,High income,82676457472,.088264123,.052084416,.050746314,.022139156,.57493705,.42506295,.12939583,.025789851,.0093901819,.016399669,.039968684,.0024561763,.057050277,.0041308417,Archives,composite
Argentina,ARG,1966,Latin America & Caribbean,High income,81587986432,.086089477,.064792663,.049668629,.027411062,.57694191,.42305812,.14138357,.028096894,.009942594,.018154301,.038548939,.0055069914,.065072402,.0041583404,Archives,composite
Argentina,ARG,1967,Latin America & Caribbean,High income,83989659648,.10804296,.074090101,.062207237,.031431697,.57576388,.42423612,.16335513,.028615313,.0098331477,.018782165,.050358444,.0086747212,.071200304,.0045063486,Archives,composite
Argentina,ARG,1968,Latin America & Caribbean,High income,87954866176,.096948124,.059223678,.055579595,.025271207,.57329214,.42670783,.15189812,.022440778,.0074816803,.014959099,.046009235,.0072171348,.071494743,.0047362447,Archives,composite
Argentina,ARG,1969,Latin America & Caribbean,High income,96891781120,.088630445,.056895532,.050259229,.024632066,.56706506,.432935,.14303865,.021781396,.0070388964,.014742499,.041317284,.0069610644,.067926511,.0050523854,Archives,composite
Argentina,ARG,1970,Latin America & Caribbean,High income,99528343552,.11243343,.087232217,.063641198,.037855774,.5660345,.43396553,.17885619,.033113178,.010361948,.022751229,.051133957,.010699836,.078390382,.005518863,Archives,composite
Argentina,ARG,1971,Latin America & Caribbean,High income,102155665408,.11138308,.058262527,.062939063,.025340211,.56506842,.43493155,.15895069,.022481298,.0094895931,.012991705,.051176019,.0089247366,.071849778,.0045188544,Archives,composite
Argentina,ARG,1972,Latin America & Caribbean,High income,107636129792,.092369258,.045226138,.051926944,.019801497,.56216693,.43783304,.14061864,.018184418,.0079062684,.01027815,.042129118,.0067768013,.069801055,.0037272407,Archives,composite
Argentina,ARG,1973,Latin America & Caribbean,High income,114485075968,.10742628,.053870253,.060003888,.023780551,.55855876,.44144124,.14870261,.02040574,.0069898115,.013415927,.050394282,.0075535048,.065952249,.0043968162,Archives,composite
Argentina,ARG,1974,Latin America & Caribbean,High income,121080856576,.12437855,.065171055,.06907098,.028979696,.55532873,.44467127,.17661935,.026436653,.0090523819,.017384272,.05714817,.0080997404,.079534955,.0053998274,Archives,composite
Argentina,ARG,1975,Latin America & Caribbean,High income,120638799872,.096676439,.018579982,.053788938,.008242432,.55638105,.44361895,.12066514,.0099331457,.0034000583,.0065330872,.047521073,.00056438328,.059373122,.0032734228,Archives,composite
Argentina,ARG,1976,Latin America & Caribbean,High income,117577187328,.091714621,.039684482,.051319048,.017478975,.55955142,.44044858,.14457144,.013390448,.0045818179,.0088086305,.044256564,.006695224,.070697032,.0095321825,Archives,composite
Argentina,ARG,1977,Latin America & Caribbean,High income,126526504960,.070191793,.046347696,.038959298,.020622842,.55504066,.44495937,.13294883,.015674205,.0053613158,.01031289,.032024994,.0080062486,.065515928,.011727463,Archives,composite
Argentina,ARG,1978,Latin America & Caribbean,High income,119823015936,.078307472,.043444358,.043809298,.01913931,.55945235,.44054767,.13349237,.014895654,.0050931736,.0098024821,.036841162,.0071635596,.069588862,.0050031203,Archives,composite
Argentina,ARG,1979,Latin America & Caribbean,High income,133474148352,.082567468,.032222282,.045589019,.014430986,.55214262,.44785735,.12792718,.010013649,.0034226631,.0065909862,.039829571,.0063007232,.067957804,.0038254391,Archives,composite
Argentina,ARG,1980,Latin America & Caribbean,High income,135592886272,.088111334,.038472764,.048630029,.017239042,.55191571,.44808429,.1424575,.013042674,.0044563715,.0085863024,.041826509,.0067462111,.076906808,.0039352896,Archives,composite
Argentina,ARG,1981,Latin America & Caribbean,High income,127647301632,.047362309,.041058358,.026463404,.018117251,.55874395,.44125611,.13192141,.014041423,.0047958838,.0092455382,.020835659,.0067942366,.087305933,.0029441691,Archives,composite
Argentina,ARG,1982,Latin America & Caribbean,High income,126567849984,.035321351,.042149477,.019801203,.018520419,.56060153,.43939853,.11268263,.010769467,.0036770082,.0070924587,.015530706,.0095224762,.074479371,.0023806191,Archives,composite
Argentina,ARG,1983,Latin America & Caribbean,High income,132757880832,.034045938,.03178069,.018983243,.014060497,.55757731,.44242266,.10499576,.0078944182,.0026944075,.0052000112,.015563281,.0074433088,.069583662,.0045110965,Archives,composite
Argentina,ARG,1984,Latin America & Caribbean,High income,135068712960,.042173147,.023829967,.023462068,.010572709,.55632716,.44367284,.10470781,.0045035621,.0015365331,.0029670289,.020716384,.0066427537,.068791911,.0040532053,Archives,composite
Argentina,ARG,1985,Latin America & Caribbean,High income,127164096512,.055735245,.039077409,.031238643,.017175196,.56048274,.43951726,.13804942,.0086170696,.002938922,.0056781475,.026934577,.0098642772,.089005254,.0036282397,Archives,composite
Argentina,ARG,1986,Latin America & Caribbean,High income,136006336512,.059247084,.045704909,.032779016,.020418232,.55325955,.44674048,.13624492,.010690759,.0036448489,.0070459102,.027874375,.0114785,.082712717,.0034885637,Archives,composite
Argentina,ARG,1987,Latin America & Caribbean,High income,140177440768,.068442062,.049694825,.037647653,.022359388,.55006605,.44993392,.13428794,.013344554,.0045479699,.0087965848,.031792782,.01143819,.072105445,.0056069554,Archives,composite
Argentina,ARG,1988,Latin America & Caribbean,High income,138572922880,.069494478,.052478779,.038218983,.023617705,.5499571,.45004296,.12701571,.010546904,.0035931966,.0069537084,.033215571,.014698346,.063057028,.0054978547,Archives,composite
Argentina,ARG,1989,Latin America & Caribbean,High income,127506653184,.075810753,.06329713,.042304408,.027975656,.55802649,.44197354,.14863451,.013698651,.0046652639,.0090333875,.036328193,.016528953,.075172767,.0069059315,Archives,composite
Argentina,ARG,1990,Latin America & Caribbean,High income,123717025792,.0858026,.061665498,.04761019,.027448514,.5548805,.44511947,.16941543,.0096631264,.0034040723,.0062590535,.042649359,.019223815,.093055651,.0048234728,OECD,composite
Argentina,ARG,1991,Latin America & Caribbean,High income,135918166016,.098401777,.07686609,.053618107,.034982555,.54488963,.45511037,.19098385,.013047056,.003579977,.0094670802,.048430882,.023333011,.098107822,.0080650738,OECD,composite
Argentina,ARG,1992,Latin America & Caribbean,High income,147109789696,.11446653,.068520032,.061274152,.031841125,.53530192,.46469805,.22240031,.016716929,.0037593143,.012957614,.055895872,.016984023,.12538734,.0074161533,OECD,composite
Argentina,ARG,1993,Latin America & Caribbean,High income,159540477952,.13464822,.066406563,.070819899,.031479206,.52596241,.47403759,.24327126,.022836197,.0070405561,.015795641,.062737256,.013393609,.13557379,.0087303966,OECD,SNA2008
Argentina,ARG,1994,Latin America & Caribbean,High income,168847474688,.1377472,.068628646,.070577651,.033465326,.51237088,.48762912,.24144135,.027442766,.0091323787,.018310387,.060774073,.012469255,.13366078,.0070945132,OECD,SNA2008
Argentina,ARG,1995,Latin America & Caribbean,High income,162401796096,.12537876,.068214938,.063508816,.033661634,.50653571,.49346426,.23025966,.028512383,.0097547723,.018757612,.053946711,.012313277,.12826134,.0072259447,OECD,SNA2008
Argentina,ARG,1996,Latin America & Caribbean,High income,171649957888,.11637769,.065677978,.056120362,.034006342,.48222613,.51777387,.22398698,.029117348,.011645734,.017471615,.044846378,.013445801,.13263363,.0039438275,OECD,SNA2008
Argentina,ARG,1997,Latin America & Caribbean,High income,186700775424,.11596166,.072621353,.055144649,.038086843,.47554207,.52445793,.23257197,.032671183,.011533676,.021137508,.0427486,.013015929,.13932876,.0048074955,OECD,SNA2008
Argentina,ARG,1998,Latin America & Caribbean,High income,194476326912,.1129984,.081342474,.0544421,.042152051,.48179534,.51820469,.23646826,.036126398,.012412145,.023714248,.041428708,.014249593,.13953908,.0051244861,OECD,SNA2008
Argentina,ARG,1999,Latin America & Caribbean,High income,187223654400,.1063001,.092475809,.05388733,.045596506,.50693583,.49306417,.23882686,.040114719,.013831115,.026283603,.040017888,.014857209,.13739689,.0064401468,OECD,SNA2008
Argentina,ARG,2000,Latin America & Caribbean,High income,185980583936,.10856315,.09758006,.054995392,.048148435,.50657511,.49342492,.24217391,.044813797,.017176876,.027636921,.038337495,.015332774,.13693358,.0067562624,OECD,SNA2008
Argentina,ARG,2001,Latin America & Caribbean,High income,177129701376,.10118154,.12677681,.053164788,.060163263,.52543956,.47456047,.23685594,.045115985,.017212098,.027903881,.036544602,.026329927,.12320385,.0056615891,OECD,SNA2008
Argentina,ARG,2002,Latin America & Caribbean,High income,155235024896,.097218737,.10450436,.046679564,.054326605,.48014987,.51985013,.22886637,.034996279,.015029784,.019966496,.032520138,.029057322,.12602903,.0062635862,OECD,SNA2008
Argentina,ARG,2003,Latin America & Caribbean,High income,170044243968,.10514475,.13442533,.048730806,.072124027,.46346399,.53653598,.26777527,.049144533,.017074609,.032069925,.032301087,.033094227,.1481653,.0050701066,OECD,SNA2008
Argentina,ARG,2004,Latin America & Caribbean,High income,203481858048,.10235748,.14854451,.048103638,.078734949,.4699572,.53004283,.27441722,.054784298,.015700709,.039083585,.031621121,.031218639,.15152825,.0052649085,OECD,SNA2008
Argentina,ARG,2005,Latin America & Caribbean,High income,220725182464,.10929164,.14943439,.05173422,.078698218,.47335938,.52664059,.27688274,.056581214,.017237496,.039343715,.033713587,.03099421,.1510469,.0045468253,OECD,SNA2008
Argentina,ARG,2006,Latin America & Caribbean,High income,234874273792,.11913592,.14664888,.057515144,.075851336,.4827691,.51723093,.28383937,.054957718,.017263422,.037694294,.03912276,.030244062,.15397316,.005541659,OECD,SNA2008
Argentina,ARG,2007,Latin America & Caribbean,High income,250235011072,.13456558,.14957277,.065650664,.076600537,.48787114,.51212889,.29896486,.055902757,.017606344,.038296413,.046278644,.0303095,.16221271,.004261245,OECD,SNA2008
Argentina,ARG,2008,Latin America & Caribbean,High income,267821629440,.14415716,.15202528,.073740102,.074260429,.51152581,.48847419,.31326613,.053979162,.018895455,.035083704,.051851142,.030439528,.17284805,.004148222,OECD,SNA2008
Argentina,ARG,2009,Latin America & Caribbean,High income,251375616000,.17055914,.16064431,.094494276,.071643107,.55402648,.44597352,.33321011,.052514665,.019634699,.032879967,.071295179,.030618349,.17386883,.0049130791,OECD,SNA2008
Argentina,ARG,2010,Latin America & Caribbean,High income,287698223104,.17098397,.16267863,.092707425,.074474357,.54219949,.45780051,.33177939,.053871028,.017770849,.036100179,.070379153,.029906075,.17384754,.0037756022,OECD,SNA2008
Argentina,ARG,2011,Latin America & Caribbean,High income,316219031552,.17221132,.17225298,.096443325,.07578633,.56002897,.43997106,.33287898,.057415951,.020559076,.036856875,.071529403,.030000174,.17053001,.0034034369,OECD,SNA2008
Argentina,ARG,2012,Latin America & Caribbean,High income,316752658432,.17899425,.19243836,.10702203,.07737799,.59790766,.40209234,.34982723,.06065049,.024385286,.036265206,.077822402,.031329557,.17649364,.0035311449,OECD,SNA2008
Argentina,ARG,2013,Latin America & Caribbean,High income,333015416832,.18511425,.19863829,.11263701,.077772267,.60847294,.39152706,.35511857,.063164182,.02825824,.034905944,.080302767,.03288652,.17606518,.0026999295,OECD,SNA2008
Argentina,ARG,2014,Latin America & Caribbean,High income,322780921856,.18880516,.19351982,.1132199,.077472694,.59966528,.40033469,.35637587,.067498609,.032914326,.034584284,.076967031,.032288469,.17629054,.0033312116,OECD,composite
Argentina,ARG,2015,Latin America & Caribbean,High income,332615352320,.20359746,.19441058,.11993922,.079883337,.58909982,.41090015,.35921809,.073752642,.037115458,.03663718,.079674095,.031873047,.17056887,.0033494227,OECD,composite
Argentina,ARG,2016,Latin America & Caribbean,High income,324820697088,.18408389,.18045899,.10732084,.075251475,.58299959,.41700041,.35111052,.060808029,.0261034,.034704633,.07738895,.031201379,.16371311,.017999047,OECD,composite
Argentina,ARG,2017,Latin America & Caribbean,High income,335109685248,.1897506,.17668268,.10908344,.075111702,.57487798,.42512205,.34286168,.05992537,.026706723,.033218648,.07852868,.032478984,.16375105,.0081775766,OECD,composite
Argentina,ARG,2018,Latin America & Caribbean,High income,326257639424,.17477919,.16971339,.099891789,.072716869,.57153136,.42846867,.32853934,.058378465,.025068374,.033310093,.071385413,.030406501,.16569616,.0026728222,OECD,composite
Armenia,ARM,1994,Asia,Upper middle income,2577265408,.057562504,.15426563,.0372511,.054433897,.64714175,.35285825,.13082936,.057979517,.014493287,.04348623,.025588421,.0043823817,.042786039,.000093011731,Archives,SNA2008
Armenia,ARM,1995,Asia,Upper middle income,2769899008,.083073206,.16210216,.04881851,.066841774,.5876565,.4123435,.16320089,.069981463,.015492931,.054488532,.035639614,.0045098779,.052184533,.0008854068,Archives,SNA2008
Armenia,ARM,1996,Asia,Upper middle income,2909102336,.090111502,.11867496,.057545621,.042888578,.63860464,.36139536,.16887474,.047164075,.015902063,.03126201,.042656526,.0040553841,.073697865,.0013008962,Archives,SNA2008
Armenia,ARM,1997,Asia,Upper middle income,3025616128,.086692683,.10828189,.055411562,.039071102,.63917232,.36082768,.19106977,.046337876,.021693213,.024644669,.03462578,.0041981554,.10341085,.0024970819,Archives,SNA2008
Armenia,ARM,1998,Asia,Upper middle income,3275422976,.06930314,.092731997,.044871449,.032691158,.6474663,.35253376,.19942886,.038667083,.018717822,.019949257,.026639022,.0037414699,.12481088,.0055703972,Archives,SNA2008
Armenia,ARM,1999,Asia,Upper middle income,3367537408,.081287257,.14235456,.053430811,.048783693,.65730858,.34269145,.23526669,.054228924,.022505602,.031723324,.031224739,.0050063012,.13082895,.01397778,Archives,SNA2008
Armenia,ARM,2000,Asia,Upper middle income,3544848384,.066972524,.13143584,.045228198,.042673968,.67532468,.32467526,.21578926,.045084853,.017065367,.028019486,.027650198,.0048355013,.1287986,.009420095,Archives,SNA2008
Armenia,ARM,2001,Asia,Upper middle income,3896573184,.058057748,.10502931,.039985321,.032693911,.68871635,.31128368,.20668139,.032154139,.011289228,.020864911,.026892819,.0047500553,.13601677,.0068675964,Archives,SNA2008
Armenia,ARM,2002,Asia,Upper middle income,4380022272,.06288249,.080915861,.041319627,.027746638,.65709275,.34290728,.2054875,.030308165,.013752548,.016555617,.025950819,.0040706568,.1348412,.010316663,Archives,SNA2008
Armenia,ARM,2003,Asia,Upper middle income,5045096960,.066388451,.067028366,.043617215,.022990722,.65700006,.34299991,.19611369,.025025018,.01220465,.01282037,.029349765,.0044143307,.12623143,.011093139,Archives,SNA2008
Armenia,ARM,2004,Asia,Upper middle income,5627549184,.061539859,.092683047,.041709926,.02986517,.67777091,.32222906,.19282596,.032153446,.012520212,.019633234,.028353119,.0044716923,.11583606,.012011647,Archives,SNA2008
Armenia,ARM,2005,Asia,Upper middle income,6448723456,.068016835,.10374465,.045159005,.034864571,.66393864,.33606139,.19800115,.037935212,.013798464,.024136746,.030110704,.004180511,.11414896,.011625768,Archives,SNA2008
Armenia,ARM,2006,Asia,Upper middle income,7382024704,.070163041,.11620658,.046413016,.039335661,.6615023,.3384977,.19799836,.043634538,.015354108,.02828043,.030026017,.0040526893,.10573574,.01454936,Archives,SNA2008
Armenia,ARM,2007,Asia,Upper middle income,8416053760,.075197145,.11053726,.048559152,.039156951,.64575791,.35424209,.21487053,.044563856,.017058935,.027504917,.02970377,.0039230273,.12294015,.013739723,Archives,SNA2008
Armenia,ARM,2008,Asia,Upper middle income,9098924032,.082366906,.11153302,.053478807,.03911737,.64927542,.35072455,.23294586,.044494275,.017086972,.027407305,.033380471,.0037024494,.1352796,.016089046,Archives,SNA2008
Armenia,ARM,2009,Asia,Upper middle income,7780945408,.096463241,.12557022,.061828028,.045086101,.64094913,.3590509,.23326445,.051482193,.021823328,.029658865,.037300847,.0055234404,.12448233,.014475627,Archives,SNA2008
Armenia,ARM,2010,Asia,Upper middle income,7915656704,.095594384,.1145888,.061479993,.040892858,.64313394,.35686609,.23752446,.050174419,.024446787,.025727628,.034827247,.0052397307,.13302687,.014256218,Archives,SNA2008
Armenia,ARM,2011,Asia,Upper middle income,8340745728,.095903829,.12989497,.063382424,.044047955,.66089565,.33910438,.23981777,.053876448,.024436017,.029440433,.037145559,.004881355,.12934938,.014565019,Archives,SNA2008
Armenia,ARM,2012,Asia,Upper middle income,8879664128,.0907548,.14229088,.061215639,.046313301,.6745168,.32548326,.24105024,.056427553,.024593741,.031833809,.034625437,.004372736,.13135262,.01427192,Archives,SNA2008
Armenia,ARM,2013,Asia,Upper middle income,9161602048,.094648793,.17742644,.06274379,.059808388,.66291165,.33708835,.25711381,.099306546,.063160203,.036146343,.0044355369,.0042581069,.13377902,.01533461,Archives,SNA2008
Armenia,ARM,2014,Asia,Upper middle income,9494475776,.10160849,.15222761,.066507459,.052587591,.65454626,.34545371,.25799933,.096938059,.068611003,.028327053,.002897959,.0044156867,.13838613,.015361491,Archives,SNA2008
Armenia,ARM,2015,Asia,Upper middle income,9673831424,.10895761,.14619683,.070962548,.050980911,.65128583,.3487142,.25116852,.09824957,.071712635,.02653694,.0045035416,.0044482546,.13143568,.012531471,Archives,SNA2008
Armenia,ARM,2016,Asia,Upper middle income,9683397632,.11420997,.16386975,.073064633,.059035797,.63973951,.36026049,.25312841,.10891391,.076266021,.032647897,.0030876249,.0046123429,.12470398,.011810565,Archives,SNA2008
Armenia,ARM,2017,Asia,Upper middle income,10397381632,.10926579,.13927639,.069474466,.050720286,.63582999,.36417004,.2476071,.098139949,.071373753,.0267662,.0033055511,.0045469273,.12614661,.01546804,Archives,SNA2008
Armenia,ARM,2018,Asia,Upper middle income,10880863232,.10724803,.17236736,.067903168,.063234448,.6331414,.3668586,.25557345,.10780808,.069282152,.038525932,.0033229238,.0041385675,.13104402,.0092598703,Archives,composite
Australia,AUS,1965,OECD,High income,192128729088,.1229955,.39333242,.093331575,.094863519,.75882107,.24117899,.26039183,.13200995,.089613348,.042396598,.0081372447,.029853839,.090390801,0,OECD,SNA2008
Australia,AUS,1966,OECD,High income,196915068928,.12716791,.42142394,.098511182,.094966024,.77465445,.22534558,.26553288,.1344171,.094653681,.039763417,.0081300661,.031436261,.091549478,0,OECD,SNA2008
Australia,AUS,1967,OECD,High income,212345536512,.12855798,.40167001,.098883003,.092717282,.76917052,.23082949,.26224169,.13354088,.095700637,.037840247,.0079200519,.031504206,.089276582,0,OECD,SNA2008
Australia,AUS,1968,OECD,High income,221715447808,.1324857,.42927292,.1013899,.10075492,.76528937,.23471063,.27393597,.14052533,.097754963,.042770367,.008183945,.033270415,.091956295,0,OECD,SNA2008
Australia,AUS,1969,OECD,High income,239810576384,.14044505,.4182364,.10635583,.10151554,.75727719,.24272287,.27680728,.14698246,.10356242,.043420035,.0080165658,.032719195,.089089066,0,OECD,SNA2008
